ISO,Country,Units,Scale,Country/Series-specific Notes,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
ISR,Israel,U.S. dollars,Billions,,131.058,121.411,127.329,135.729,142.661,154.157,179.069,216.338,207.498,234,261.014,257.173,292.693,310.048,300.123,318.617,352.668,370.456,394.652,402.639,446.708,2020
ITA,Italy,U.S. dollars,Billions,,"1,168.03","1,275.87","1,577.23","1,805.72","1,859.24","1,949.66","2,213.37","2,408.39","2,197.54","2,137.85","2,294.59","2,088.28","2,141.95","2,162.57","1,836.82","1,876.55","1,961.11","2,093.09","2,005.14","1,884.94","2,106.29",2020
JAM,Jamaica,U.S. dollars,Billions,,9.195,9.719,9.43,10.175,11.233,11.946,12.881,13.743,12.107,13.193,14.413,14.765,14.213,13.865,14.154,14.108,14.755,15.648,15.808,13.948,14.6,2019
JPN,Japan,U.S. dollars,Billions,,"4,374.71","4,182.85","4,519.56","4,893.14","4,831.47","4,601.66","4,579.75","5,106.68","5,289.49","5,759.07","6,233.15","6,272.36","5,212.33","4,897.00","4,444.93","5,003.68","4,930.84","5,036.89","5,148.78","5,048.69","5,378.14",2020
JOR,Jordan,U.S. dollars,Billions,,9.255,9.882,10.514,11.768,12.982,15.527,17.645,22.648,24.538,27.134,29.524,31.679,34.503,36.9,38.642,39.949,41.467,42.993,44.566,43.481,44.979,2019
KAZ,Kazakhstan,U.S. dollars,Billions,,22.153,24.637,30.834,43.152,57.125,81.003,104.85,133.442,115.309,148.047,192.626,207.999,236.635,221.416,184.388,137.289,166.806,179.34,181.667,164.792,187.836,2020
KEN,Kenya,U.S. dollars,Billions,,14.536,14.764,16.796,18.064,21.001,25.826,31.959,35.895,37.022,40,41.671,50.422,55.125,61.546,64.235,69.19,78.896,87.801,95.41,99.287,106.041,2019
KIR,Kiribati,U.S. dollars,Billions,,0.063,0.072,0.091,0.103,0.112,0.11,0.133,0.144,0.134,0.157,0.182,0.19,0.186,0.18,0.171,0.178,0.187,0.2,0.198,0.2,0.231,2017
KOR,Korea,U.S. dollars,Billions,,547.743,626.989,702.696,792.532,934.708,"1,052.61","1,172.47","1,049.17",943.739,"1,143.57","1,253.42","1,278.05","1,370.63","1,484.49","1,466.04","1,499.36","1,623.07","1,725.37","1,646.74","1,630.87","1,806.71",2020
UVK,Kosovo,U.S. dollars,Billions,,2.509,2.691,3.348,3.621,3.738,3.918,4.743,5.71,5.67,5.841,6.7,6.504,7.074,7.398,6.444,6.717,7.243,7.947,7.953,7.789,8.81,2019
KWT,Kuwait,U.S. dollars,Billions,,34.886,38.135,47.844,59.439,80.807,101.559,114.677,147.402,105.992,115.401,154.02,174.066,174.179,162.695,114.606,109.381,120.687,140.665,134.624,107.936,126.93,2019
KGZ,Kyrgyz Republic,U.S. dollars,Billions,,1.525,1.606,1.92,2.214,2.459,2.837,3.807,5.139,4.69,4.794,6.198,6.604,7.335,7.467,6.678,6.813,7.703,8.271,8.455,7.471,7.47,2019
LAO,Lao P.D.R.,U.S. dollars,Billions,,1.757,1.844,2.259,2.649,3.049,3.915,4.757,5.948,6.431,7.504,8.963,10.195,11.974,13.266,14.363,15.905,17.056,18.133,18.807,19.078,20.44,2019
LVA,Latvia,U.S. dollars,Billions,,8.352,9.552,11.754,14.406,16.986,21.536,31.05,35.924,26.386,23.911,28.649,28.346,30.442,31.379,27.253,28.064,30.448,34.432,34.059,33.478,37.72,2020
LBN,Lebanon,U.S. dollars,Billions,,17.355,18.831,19.48,21.153,21.497,22.023,24.827,29.119,35.4,38.444,39.927,44.036,46.909,48.134,49.939,51.205,53.141,54.961,52.572,19.126,n/a,2018
LSO,Lesotho,U.S. dollars,Billions,,0.701,0.767,1.109,1.384,1.484,1.519,1.759,1.652,1.937,2.356,2.571,2.465,2.345,2.477,2.207,2.219,2.356,2.32,2.289,2.068,2.458,2019
LBR,Liberia,U.S. dollars,Billions,,0.908,0.946,0.714,0.895,0.947,1.11,1.346,1.677,1.769,1.973,2.342,2.673,3.046,3.09,3.088,3.258,3.335,3.264,3.064,3.033,3.37,2016
LBY,Libya,U.S. dollars,Billions,,34.112,20.471,26.186,32.996,47.335,54.963,67.69,73.917,50.808,68.974,31.999,79.759,51.896,24.262,17.216,18.563,30.211,41.432,39.832,21.797,24.267,2017
LTU,Lithuania,U.S. dollars,Billions,,12.238,14.257,18.782,22.624,26.115,30.203,39.764,48.03,37.475,37.195,43.584,42.952,46.537,48.611,41.44,43.035,47.742,53.747,54.633,55.688,62.198,2020
LUX,Luxembourg,U.S. dollars,Billions,,21.291,23.712,29.615,34.733,37.382,42.452,50.959,56.072,51.518,53.308,60.073,56.711,61.758,66.209,57.774,60.716,64.159,70.952,71.113,73.205,84.077,2020
MAC,Macao SAR,U.S. dollars,Billions,,6.86,7.372,8.247,10.643,12.16,14.874,18.44,21.027,21.588,28.242,36.844,43.19,51.536,54.903,45.06,45.085,50.457,55.303,55.154,24.333,39.449,2020
MDG,Madagascar,U.S. dollars,Billions,,5.438,5.352,6.372,5.065,5.859,6.396,8.525,10.725,9.617,9.983,11.552,11.579,12.424,12.523,11.323,11.849,13.176,13.974,14.519,13.837,14.746,2018
MWI,Malawi,U.S. dollars,Billions,,2.967,3.496,3.211,3.476,3.656,3.998,4.431,5.321,6.195,6.957,7.984,5.981,5.432,6.055,6.402,5.492,6.23,6.911,7.663,8.488,9.268,2019
